"study_id","first_author","pubyear","papers","effect_sizes","experiments","toedieningsroute","drug","drug_class","dose_unit","dose","unit","hed","hed2","frequency","timing","multiplication_factor_es","anxiety_test","type_of_outcome","type_of_anxiety_test","species","strain","disease","mean_treatment_group","se_treatment_group","n_treatment_group","sd_treatment_group","mean_control_group","se_control_group","n_control_group","sd_control_group","sex","id_sample","Sample","dose2"
"Micale_2017_11_5","Micale",2017,4,11,5,"i.p.","AM404","Reuptake inhibitor","3 mg/kg",3,"mg/kg",0.243,0.059049,"SD","acute",1,"Inhibitory avoidance task","Retention of safety learning","Conditioned","mice","C57BL/6NCrl","none",63.158,13.816,12,47.8600279147432,63.158,7.895,12,27.3490822515126,"Male","4","AM404conditioned",NA
"Micale_2017_12_6","Micale",2017,4,12,6,"i.p.","AM404","Reuptake inhibitor","3 mg/kg",3,"mg/kg",0.243,0.059049,"SD","acute",1,"Inhibitory avoidance task","Retention of safety learning","Conditioned","mice","C57BL/6NCrl","none",142.105,19.737,12,68.3709735779739,201.316,17.763,12,61.5328369896919,"Male","4","AM404conditioned",NA
"Micale_2017_13_7","Micale",2017,4,13,7,"i.p.","AM404","Reuptake inhibitor","3 mg/kg",3,"mg/kg",0.243,0.059049,"SD","acute",1,"Inhibitory avoidance task","Retention of safety learning","Conditioned","mice","C57BL/6NCrl","none",107.692,17.308,9,51.924,178.846,21.154,9,63.462,"Male","4","AM404conditioned",NA
"Naderi_2008_1_1","Naderi",2008,1,1,1,"i.p.","AM404","Reuptake inhibitor","0.25 mg/kg",0.25,"mg/kg",0.02025,0.0004100625,"SD","acute",-1,"AA",NA,"Unconditioned","mice","NMRI","No",49.24242424,3.484848485,8,9.85663998060467,50.45454545,1.515151515,8,4.28549564312628,"Male","1","AM404unconditioned",0.0625
"Naderi_2008_2_1","Naderi",2008,1,2,1,"i.p.","AM404","Reuptake inhibitor","0.5 mg/kg",0.5,"mg/kg",0.0405,0.00164025,"SD","acute",-1,"AA",NA,"Unconditioned","mice","NMRI","No",46.81818182,0.909090909,8,2.57129738587577,50.45454545,1.515151515,8,4.28549564312628,"Male","1","AM404unconditioned",0.25
"Naderi_2008_3_1","Naderi",2008,1,3,1,"i.p.","AM404","Reuptake inhibitor","1 mg/kg",1,"mg/kg",0.081,0.006561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","NMRI","No",41.51515152,1.96969697,8,5.57114433747838,50.45454545,1.515151515,8,4.28549564312628,"Male","1","AM404unconditioned",1
"Naderi_2008_4_1","Naderi",2008,1,4,1,"i.p.","AM404","Reuptake inhibitor","2 mg/kg",2,"mg/kg",0.162,0.026244,"SD","acute",-1,"AA",NA,"Unconditioned","mice","NMRI","No",45.75757576,1.666666667,8,4.71404520885313,50.45454545,1.515151515,8,4.28549564312628,"Male","1","AM404unconditioned",4
"Naderi_2008_5_1","Naderi",2008,1,5,1,"i.p.","AM404","Reuptake inhibitor","0.25 mg/kg",0.25,"mg/kg",0.02025,0.0004100625,"SD","acute",-1,"AA",NA,"Unconditioned","mice","NMRI","No",21.68393782,3.031088083,8,8.57321175145213,17.95336788,2.875647668,8,8.13355986538433,"Male","1","AM404unconditioned",0.0625
"Naderi_2008_6_1","Naderi",2008,1,6,1,"i.p.","AM404","Reuptake inhibitor","0.5 mg/kg",0.5,"mg/kg",0.0405,0.00164025,"SD","acute",-1,"AA",NA,"Unconditioned","mice","NMRI","No",22.4611399,2.564766839,8,7.25425609607714,17.95336788,2.875647668,8,8.13355986538433,"Male","1","AM404unconditioned",0.25
"Naderi_2008_7_1","Naderi",2008,1,7,1,"i.p.","AM404","Reuptake inhibitor","1 mg/kg",1,"mg/kg",0.081,0.006561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","NMRI","No",24.09326425,2.215025907,8,6.26503935737433,17.95336788,2.875647668,8,8.13355986538433,"Male","1","AM404unconditioned",1
"Naderi_2008_8_1","Naderi",2008,1,8,1,"i.p.","AM404","Reuptake inhibitor","2 mg/kg",2,"mg/kg",0.162,0.026244,"SD","acute",-1,"AA",NA,"Unconditioned","mice","NMRI","No",16.16580311,3.730569948,8,10.5516452316862,17.95336788,2.875647668,8,8.13355986538433,"Male","1","AM404unconditioned",4
"Naderi_2008_9_1","Naderi",2008,1,9,1,"i.p.","AM404","Reuptake inhibitor","1 mg/kg",1,"mg/kg",0.081,0.006561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","NMRI","No",34.17322835,3.149606299,8,8.90843188836306,28.18897638,2.204724409,8,6.23590232100561,"Male","1","AM404unconditioned",1
"Patel_2006_10_2","Patel",2006,2,10,2,"i.p.","AM404","Reuptake inhibitor","0.3 mg/kg",0.3,"mg/kg",0.0243,0.00059049,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",24.40677966,5.197740113,9,15.593220339,23.38983051,4.858757062,9,14.576271186,"Male","2","AM404unconditioned",0.09
"Patel_2006_11_2","Patel",2006,2,11,2,"i.p.","AM404","Reuptake inhibitor","1 mg/kg",1,"mg/kg",0.081,0.006561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",28.02259887,2.372881356,9,7.118644068,23.38983051,4.858757062,9,14.576271186,"Male","2","AM404unconditioned",1
"Patel_2006_12_2","Patel",2006,2,12,2,"i.p.","AM404","Reuptake inhibitor","3 mg/kg",3,"mg/kg",0.243,0.059049,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",32.99435028,3.615819209,9,10.847457627,23.38983051,4.858757062,9,14.576271186,"Male","2","AM404unconditioned",9
"Patel_2006_13_2","Patel",2006,2,13,2,"i.p.","AM404","Reuptake inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","ICR","No",14.46327684,2.711864407,9,8.135593221,23.38983051,4.858757062,9,14.576271186,"Male","2","AM404unconditioned",100
"Scherma_2012_14_3","Scherma",2012,3,14,3,"i.p.","AM404","Reuptake inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Sprague Dawley","No",75.4310344827586,14.367816091954,8,40.6383207578475,102.729885057471,17.241379310345,8,48.7659849094176,"Male","3","AM404unconditioned",25
"Bortolato_2006_15_4","Bortolato",2006,4,15,4,"i.p.","AM404","Reuptake inhibitor","0.5 mg/kg",0.5,"mg/kg",0.081,0.006561,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",20.36262204,4.672245467,9.5,14.4008276910416,9.972105997,2.789400279,9.5,8.59750906987659,"Male","4","AM404unconditioned",0.25
"Bortolato_2006_16_4","Bortolato",2006,4,16,4,"i.p.","AM404","Reuptake inhibitor","1 mg/kg",1,"mg/kg",0.162,0.026244,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",22.73361227,6.276150628,9.5,19.3443954079929,9.972105997,2.789400279,9.5,8.59750906987659,"Male","4","AM404unconditioned",1
"Bortolato_2006_17_4","Bortolato",2006,4,17,4,"i.p.","AM404","Reuptake inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",37.44769874,9.065550907,9.5,27.9419044778695,9.972105997,2.789400279,9.5,8.59750906987659,"Male","4","AM404unconditioned",25
"Bortolato_2006_18_4","Bortolato",2006,4,18,4,"i.p.","AM404","Reuptake inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",36.14058355,6.896551724,9.5,21.2566000098127,9.549071618,2.519893899,9.5,7.76683461849584,"Male","4","AM404unconditioned",25
"Bortolato_2006_19_4","Bortolato",2006,4,19,4,"i.p.","AM404","Reuptake inhibitor","1 mg/kg",1,"mg/kg",0.162,0.026244,"SD","acute",1,"AA",NA,"Unconditioned","rats","Wistar","No",357.4074074,30.55555556,11,101.341313053378,292.5925926,20.37037037,11,67.5608753578631,"Male","4","AM404unconditioned",1
"Bortolato_2006_20_4","Bortolato",2006,4,20,4,"i.p.","AM404","Reuptake inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",1,"AA",NA,"Unconditioned","rats","Wistar","No",397.2222222,31.48148148,11,104.412261913682,292.5925926,20.37037037,11,67.5608753578631,"Male","4","AM404unconditioned",25
"Bortolato_2006_21_4","Bortolato",2006,4,21,4,"i.p.","AM404","Reuptake inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",1,"AA",NA,"Unconditioned","rats","Wistar","No",397.2222222,51.85185185,11,171.973137271546,288.8888889,50.92592593,11,168.902188411241,"Male","4","AM404unconditioned",25
"Bortolato_2006_22_4","Bortolato",2006,4,22,4,"i.p.","AM404","Reuptake inhibitor","2.5 mg/kg",2.5,"mg/kg",0.405,0.164025,"SD","acute",1,"ASR",NA,"Unconditioned","rats","Wistar","No",662.3279099,39.42428035,9.5,121.513792923257,656.1952441,19.27409262,9.5,59.4067432206245,"Male","4","AM404unconditioned",6.25
"Bortolato_2006_23_4","Bortolato",2006,4,23,4,"i.p.","AM404","Reuptake inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",1,"ASR",NA,"Unconditioned","rats","Wistar","No",636.9211514,35.91989987,9.5,110.712566871936,656.1952441,19.27409262,9.5,59.4067432206245,"Male","4","AM404unconditioned",25
"Bortolato_2006_24_4","Bortolato",2006,4,24,4,"i.p.","AM404","Reuptake inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"ASR",NA,"Unconditioned","rats","Wistar","No",597.4968711,61.32665832,9.5,189.021455651551,656.1952441,19.27409262,9.5,59.4067432206245,"Male","4","AM404unconditioned",100
"Braida_2007_25_5","Braida",2007,5,25,5,"i.p.","AM404","Reuptake inhibitor","0.015 mg/kg",0.015,"mg/kg",0.00243,5.9049e-06,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Sprague–Dawley","No",25.7,4.7,10,14.8627050027914,15.12,2.8,10,8.85437744847146,"Male","5","AM404unconditioned",0.000225
"Braida_2007_26_5","Braida",2007,5,26,5,"i.p.","AM404","Reuptake inhibitor","0.75 mg/kg",0.75,"mg/kg",0.1215,0.01476225,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Sprague–Dawley","No",39.28,2,10,6.32455532033676,15.12,2.8,10,8.85437744847146,"Male","5","AM404unconditioned",0.5625
"Braida_2007_27_5","Braida",2007,5,27,5,"i.p.","AM404","Reuptake inhibitor","1.25 mg/kg",1.25,"mg/kg",0.2025,0.04100625,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Sprague–Dawley","No",49.69,6.94,10,21.9462069615686,15.12,2.8,10,8.85437744847146,"Male","5","AM404unconditioned",1.5625
"Braida_2007_28_6","Braida",2007,5,28,6,"i.p.","AM404","Reuptake inhibitor","0.015 mg/kg",0.015,"mg/kg",0.00243,5.9049e-06,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Sprague–Dawley","No",29.57,2.46,10,7.77920304401421,20.08,3.88,10,12.2696373214533,"Male","5","AM404unconditioned",0.000225
"Braida_2007_29_6","Braida",2007,5,29,6,"i.p.","AM404","Reuptake inhibitor","1.25 mg/kg",1.25,"mg/kg",0.2025,0.04100625,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Sprague–Dawley","No",40.09,2.66,10,8.41165857604789,20.08,3.88,10,12.2696373214533,"Male","5","AM404unconditioned",1.5625
"Hill_2006_30_7","Hill",2006,6,30,7,"i.p.","AM404","Reuptake inhibitor","2 mg/kg",2,"mg/kg",0.324,0.104976,"SD","acute",1,"defense",NA,"Unconditioned","rats","Sprague-Dawley","No",0.211489899,0.189393939,4.5,0.401765215747594,1.597222222,0.501893939,4.5,3.531126409,"Male","6","AM404unconditioned",4
"Rutkowska_2006_31_8","Rutkowska",2006,7,31,8,"i.p.","AM404","Reuptake inhibitor","1 mg/kg",1,"mg/kg",0.081,0.006561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","BALB/c","No",72.39583333,8.333333333,9,24.999999999,48.95833333,4.166666667,9,12.500000001,"Male","7","AM404unconditioned",1
"Rutkowska_2006_32_8","Rutkowska",2006,7,32,8,"i.p.","AM404","Reuptake inhibitor","4 mg/kg",4,"mg/kg",0.324,0.104976,"SD","acute",-1,"AA",NA,"Unconditioned","mice","BALB/c","No",71.61458333,12.23958333,9,36.71874999,48.95833333,4.166666667,9,12.500000001,"Male","7","AM404unconditioned",16
"Zaitone_2012_33_9","Zaitone",2012,8,33,9,"i.p.","AM404","Reuptake inhibitor","0.3 mg/kg",0.3,"mg/kg",0.0243,0.00059049,"SD","acute",-1,"AA",NA,"Unconditioned","mice","BALB/c","No",11.88720174,1.47505423,7,3.90262666291387,10.4989154,1.388286334,7,3.67306038831355,"Male","8","AM404unconditioned",0.09
"Zaitone_2012_34_9","Zaitone",2012,8,34,9,"i.p.","AM404","Reuptake inhibitor","1 mg/kg",1,"mg/kg",0.081,0.006561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","BALB/c","No",29.84815618,6.507592191,7,17.2174705712119,10.4989154,1.388286334,7,3.67306038831355,"Male","8","AM404unconditioned",1
"Zaitone_2012_35_10","Zaitone",2012,8,35,10,"i.p.","AM404","Reuptake inhibitor","1 mg/kg",1,"mg/kg",0.081,0.006561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","BALB/c","No",27.10084034,4.222689076,7.5,11.5643103012792,9.705882353,1.260504202,7.5,3.45203292632724,"Male","8","AM404unconditioned",1
"Martín-Gonzáles_2018_36_11","Martín-Gonzáles",2018,9,36,11,"i.p.","AM404","Reuptake inhibitor","0.25 mg/kg",0.25,"mg/kg",0.0405,0.00164025,"SD","acute",1,"RCLB",NA,"Unconditioned","rats","Wistar","Yes",19.56896552,4.137931034,10,13.0852868681356,19.61206897,3.793103448,10,11.9948462963181,"Male","9","AM404unconditioned",0.0625
"Martín-Gonzáles_2018_37_11","Martín-Gonzáles",2018,9,37,11,"i.p.","AM404","Reuptake inhibitor","0.5 mg/kg",0.5,"mg/kg",0.081,0.006561,"SD","acute",1,"RCLB",NA,"Unconditioned","rats","Wistar","Yes",19.82758621,3.793103448,10,11.9948462963181,19.61206897,3.793103448,10,11.9948462963181,"Male","9","AM404unconditioned",0.25
"Manna_2015_38_12","Manna",2015,10,38,12,"i.p.","AM404","Reuptake inhibitor",NA,0.1,"mg/kg",0.0081,6.561e-05,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",9.74193548387096,0.677419354838639,7,1.79228314620486,11.7419354838709,0.7741935483871,7,2.04832359566292,"Male","10","AM404unconditioned",0.01
"Manna_2015_39_12","Manna",2015,10,39,12,"i.p.","AM404","Reuptake inhibitor",NA,1,"mg/kg",0.081,0.006561,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",9.7741935483871,0.516129032258,7,1.3655490637751,11.7419354838709,0.7741935483871,7,2.04832359566292,"Male","10","AM404unconditioned",1
"Manna_2015_40_12","Manna",2015,10,40,12,"i.p.","AM404","Reuptake inhibitor",NA,5,"mg/kg",0.405,0.164025,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",5.70967741935484,0.54838709677419,7,1.45089588026122,11.7419354838709,0.7741935483871,7,2.04832359566292,"Male","10","AM404unconditioned",25
"Manna_2015_41_12","Manna",2015,10,41,12,"i.p.","AM404","Reuptake inhibitor",NA,10,"mg/kg",0.81,0.6561,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",2.96774193548387,0.41935483870967,7,1.10950861431739,11.7419354838709,0.7741935483871,7,2.04832359566292,"Male","10","AM404unconditioned",100
"Manna_2015_42_12","Manna",2015,10,42,12,"i.p.","AM404","Reuptake inhibitor",NA,20,"mg/kg",1.62,2.6244,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",1.61290322580645,0.19354838709677,7,0.512080898915716,11.7419354838709,0.7741935483871,7,2.04832359566292,"Male","10","AM404unconditioned",400
"Manna_2015_43_12","Manna",2015,10,43,12,"i.p.","AM404","Reuptake inhibitor",NA,1,"mg/kg",0.081,0.006561,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",9.66101694915254,0.61016949152536,7,1.61435673217484,9.76271186440678,0.81355932203382,7,2.1524756428998,"Male","10","AM404unconditioned",1
"Assareh_2020_1_1","Assareh",2020,1,1,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","1 mg/kg",1,"mg/kg",0.081,0.006561,"SD","acute",1,"Cued fear conditioning","Fear during CS reexposure","Conditioned","mice","C57BL/6J","No",37.1,NA,10,7.385,46.2,NA,10,17.99,"Male","1","CBDanimalconditioned",NA
"Assareh_2020_2_1","Assareh",2020,1,2,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",1,"Cued fear conditioning","Fear during CS reexposure","Conditioned","mice","C57BL/6J","No",43.9,NA,10,11.53,46.2,NA,10,17.99,"Male","1","CBDanimalconditioned",NA
"Assareh_2020_3_1","Assareh",2020,1,3,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"SD","acute",1,"Cued fear conditioning","Fear during CS reexposure","Conditioned","mice","C57BL/6J","No",26.3,NA,10,12.44,46.2,NA,10,17.99,"Male","1","CBDanimalconditioned",NA
"Assareh_2020_4_1","Assareh",2020,1,4,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","100 mg/kg",100,"mg/kg",8.1,65.61,"SD","acute",1,"Cued fear conditioning","Fear during CS reexposure","Conditioned","mice","C57BL/6J","No",34.6,NA,10,17.47,46.2,NA,10,17.99,"Male","1","CBDanimalconditioned",NA
"Assareh_2020_5_1","Assareh",2020,1,5,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","1 mg/kg",1,"mg/kg",0.081,0.006561,"SD","acute",1,"Contextual fear conditioning","Fear during CS reexposure","Conditioned","mice","C57BL/6J","No",21.19,NA,10,10.86,27.53,NA,10,8.696,"Male","1","CBDanimalconditioned",NA
"Assareh_2020_6_1","Assareh",2020,1,6,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",1,"Contextual fear conditioning","Fear during CS reexposure","Conditioned","mice","C57BL/6J","No",21.27,NA,10,11.97,27.53,NA,10,8.696,"Male","1","CBDanimalconditioned",NA
"Assareh_2020_7_1","Assareh",2020,1,7,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"SD","acute",1,"Contextual fear conditioning","Fear during CS reexposure","Conditioned","mice","C57BL/6J","No",29.33,NA,10,18,27.53,NA,10,8.696,"Male","1","CBDanimalconditioned",NA
"Assareh_2020_8_1","Assareh",2020,1,8,1,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","100 mg/kg",100,"mg/kg",8.1,65.61,"SD","acute",1,"Contextual fear conditioning","Fear during CS reexposure","Conditioned","mice","C57BL/6J","No",23.2,NA,10,20.86,27.53,NA,10,8.696,"Male","1","CBDanimalconditioned",NA
"Cheng_2014_9_2","Cheng",2014,2,9,2,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"MD","delay",1,"Contextual fear conditioning","Fear during CS reexposure","Conditioned","mice","Wild-type like","No",89.8,19.8,11,65.6691708490369,87.9,17.4,11,57.709271352184,"Male","2","CBDanimalconditioned",NA
"Cheng_2014_11_2","Cheng",2014,2,10,2,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor",NA,20,"mg/kg",1.62,2.6244,"MD","delay",1,"Cued fear conditioning","Conditioned fear expression","Conditioned","mice","Wild-type like","No",23.4,4.3,11,14.2614865985282,21.5,3.8,11,12.6031742033505,"Male","2","CBDanimalconditioned",NA
"Cheng_2014_11_3","Cheng",2014,3,11,3,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"MD","delay",1,"Cued fear conditioning","Within-session fear extinction","Conditioned","mice","Wild-type like","No",19.09,NA,10,16.72,17.71,NA,8,11.83,"Male","3","CBDanimalconditioned",NA
"Cheng_2014_12_3","Cheng",2014,3,12,3,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"MD","delay",1,"Contextual fear conditioning","Within-session fear extinction","Conditioned","mice","Wild-type like","No",19.72,NA,10,15.03,19.99,NA,8,14.55,"Male","3","CBDanimalconditioned",NA
"Cheng_2014_13_3","Cheng",2014,3,13,3,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"MD","delay",1,"Cued fear conditioning","Conditioned fear expression","Conditioned","mice","Wild-type like","No",38.7,6.7,10,21.1872603231281,40.4,7.3,8,20.6475180106472,"Male","3","CBDanimalconditioned",NA
"Elbatsh_2012_14_4","Elbatsh",2012,4,14,4,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"MD","acute",1,"Contextual fear conditioning","Fear during CS reexposure","Conditioned","rats","Lister-hooded","No",81.61643836,4.931506849,8,13.9484077375832,60.16438356,5.424657534,8,15.3432485116244,"Male","4","CBDanimalconditioned",NA
"Gazarini_2014_15_5","Gazarini",2014,5,15,5,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Fear memory reconsolidation","Conditioned","rats","Wistar","No",48.8333333,NA,10,10.4967498,75,NA,9,6.18640485,"Male","5","CBDanimalconditioned",NA
"Jurkus_2016_16_6","Jurkus",2016,6,16,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",1,"Cued fear conditioning","Within-session fear extinction","Conditioned","rats","Lister-hooded","No",25.8,NA,10,9.44927980794774,21.0909090909091,NA,11,11.9117970554786,"Male","6","CBDanimalconditioned",NA
"Jurkus_2016_17_6","Jurkus",2016,6,17,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Cued fear conditioning","Within-session fear extinction","Conditioned","rats","Lister-hooded","No",20.9090909090909,NA,11,11.7426959890354,21.0909090909091,NA,11,11.9117970554786,"Male","6","CBDanimalconditioned",NA
"Jurkus_2016_18_6","Jurkus",2016,6,18,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",3.24,10.4976,"SD","acute",1,"Cued fear conditioning","Within-session fear extinction","Conditioned","rats","Lister-hooded","No",24.7272727272727,NA,11,16.0567176539348,21.0909090909091,NA,11,11.9117970554786,"Male","6","CBDanimalconditioned",NA
"Jurkus_2016_19_6","Jurkus",2016,6,19,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",1,"Cued fear conditioning","Conditioned fear expression","Conditioned","rats","Lister-hooded","No",74,NA,10,12.8927197372091,66.5454545454545,NA,11,17.2067639977053,"Male","6","CBDanimalconditioned",NA
"Jurkus_2016_20_6","Jurkus",2016,6,20,6,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Cued fear conditioning","Conditioned fear expression","Conditioned","rats","Lister-hooded","No",57.2727272727273,NA,11,24.6782937379832,66.5454545454545,NA,11,17.2067639977053,"Male","6","CBDanimalconditioned",NA
